docid,level,parent,code,label
278,2,277,sdv.sa.aep,"sdv.sa.aep = Sciences du Vivant [q-bio]/Sciences agricoles/Agriculture, économie et politique"
279,2,277,sdv.sa.agro,sdv.sa.agro = Sciences du Vivant [q-bio]/Sciences agricoles/Agronomie
280,2,277,sdv.sa.hort,sdv.sa.hort = Sciences du Vivant [q-bio]/Sciences agricoles/Horticulture
281,2,277,sdv.sa.sds,sdv.sa.sds = Sciences du Vivant [q-bio]/Sciences agricoles/Science des sols
282,2,277,sdv.sa.sf,"sdv.sa.sf = Sciences du Vivant [q-bio]/Sciences agricoles/Sylviculture, foresterie"
283,2,277,sdv.sa.spa,sdv.sa.spa = Sciences du Vivant [q-bio]/Sciences agricoles/Science des productions animales
284,2,277,sdv.sa.sta,sdv.sa.sta = Sciences du Vivant [q-bio]/Sciences agricoles/Sciences et techniques de l'agriculture
285,2,277,sdv.sa.stp,sdv.sa.stp = Sciences du Vivant [q-bio]/Sciences agricoles/Sciences et techniques des pêches
286,2,277,sdv.sa.zoo,sdv.sa.zoo = Sciences du Vivant [q-bio]/Sciences agricoles/Zootechnie
287,1,193,sdv.sp,sdv.sp = Sciences du Vivant [q-bio]/Sciences pharmaceutiques
288,2,287,sdv.sp.med,sdv.sp.med = Sciences du Vivant [q-bio]/Sciences pharmaceutiques/Médicaments
289,2,287,sdv.sp.pg,sdv.sp.pg = Sciences du Vivant [q-bio]/Sciences pharmaceutiques/Pharmacie galénique
290,2,287,sdv.sp.pharma,sdv.sp.pharma = Sciences du Vivant [q-bio]/Sciences pharmaceutiques/Pharmacologie
291,1,193,sdv.spee,sdv.spee = Sciences du Vivant [q-bio]/Santé publique et épidémiologie
292,1,193,sdv.tox,sdv.tox = Sciences du Vivant [q-bio]/Toxicologie
293,2,292,sdv.tox.eco,sdv.tox.eco = Sciences du Vivant [q-bio]/Toxicologie/Ecotoxicologie
294,2,292,sdv.tox.tca,sdv.tox.tca = Sciences du Vivant [q-bio]/Toxicologie/Toxicologie et chaîne alimentaire
295,2,292,sdv.tox.tvm,sdv.tox.tvm = Sciences du Vivant [q-bio]/Toxicologie/Toxicologie végétale et mycotoxicologie
296,0,0,shs,shs = Sciences de l'Homme et Société
297,1,296,shs.anthro-bio,shs.anthro-bio = Sciences de l'Homme et Société/Anthropologie biologique
298,1,296,shs.anthro-se,shs.anthro-se = Sciences de l'Homme et Société/Anthropologie sociale et ethnologie
299,1,296,shs.archeo,shs.archeo = Sciences de l'Homme et Société/Archéologie et Préhistoire
300,1,296,shs.archi,"shs.archi = Sciences de l'Homme et Société/Architecture, aménagement de l'espace"
301,1,296,shs.art,shs.art = Sciences de l'Homme et Société/Art et histoire de l'art
302,1,296,shs.class,shs.class = Sciences de l'Homme et Société/Etudes classiques
303,1,296,shs.demo,shs.demo = Sciences de l'Homme et Société/Démographie
304,1,296,shs.droit,shs.droit = Sciences de l'Homme et Société/Droit
305,1,296,shs.eco,shs.eco = Sciences de l'Homme et Société/Economies et finances
306,1,296,shs.edu,shs.edu = Sciences de l'Homme et Société/Education
307,1,296,shs.envir,shs.envir = Sciences de l'Homme et Société/Etudes de l'environnement
308,1,296,shs.genre,shs.genre = Sciences de l'Homme et Société/Etudes sur le genre
309,1,296,shs.geo,shs.geo = Sciences de l'Homme et Société/Géographie
310,1,296,shs.gestion,shs.gestion = Sciences de l'Homme et Société/Gestion et management
311,1,296,shs.hisphilso,"shs.hisphilso = Sciences de l'Homme et Société/Histoire, Philosophie et Sociologie des sciences"
312,1,296,shs.hist,shs.hist = Sciences de l'Homme et Société/Histoire
313,1,296,shs.info,shs.info = Sciences de l'Homme et Société/Sciences de l'information et de la communication
314,1,296,shs.langue,shs.langue = Sciences de l'Homme et Société/Linguistique
315,1,296,shs.litt,shs.litt = Sciences de l'Homme et Société/Littératures
316,1,296,shs.museo,shs.museo = Sciences de l'Homme et Société/Héritage culturel et muséologie
317,1,296,shs.musiq,"shs.musiq = Sciences de l'Homme et Société/Musique, musicologie et arts de la scène"
318,1,296,shs.phil,shs.phil = Sciences de l'Homme et Société/Philosophie
319,1,296,shs.psy,shs.psy = Sciences de l'Homme et Société/Psychologie
320,1,296,shs.relig,shs.relig = Sciences de l'Homme et Société/Religions
321,1,296,shs.scipo,shs.scipo = Sciences de l'Homme et Société/Science politique
322,1,296,shs.socio,shs.socio = Sciences de l'Homme et Société/Sociologie
323,1,296,shs.stat,shs.stat = Sciences de l'Homme et Société/Méthodes et statistiques
324,0,0,spi,spi = Sciences de l'ingénieur [physics]
325,1,324,spi.acou,spi.acou = Sciences de l'ingénieur [physics]/Acoustique [physics.class-ph]
326,1,324,spi.auto,spi.auto = Sciences de l'ingénieur [physics]/Automatique / Robotique
327,1,324,spi.elec,spi.elec = Sciences de l'ingénieur [physics]/Electromagnétisme
328,1,324,spi.fluid,spi.fluid = Sciences de l'ingénieur [physics]/Milieux fluides et réactifs
380,1,324,spi.gciv,spi.gciv = Sciences de l'ingénieur [physics]/Génie civil
384,2,380,spi.gciv.cd,spi.gciv.cd = Sciences de l'ingénieur [physics]/Génie civil/Construction durable
383,2,380,spi.gciv.ch,spi.gciv.ch = Sciences de l'ingénieur [physics]/Génie civil/Construction hydraulique
385,2,380,spi.gciv.dv,"spi.gciv.dv = Sciences de l'ingénieur [physics]/Génie civil/Dynamique, vibrations"
386,2,380,spi.gciv.ec,spi.gciv.ec = Sciences de l'ingénieur [physics]/Génie civil/Eco-conception
387,2,380,spi.gciv.gcn,spi.gciv.gcn = Sciences de l'ingénieur [physics]/Génie civil/Génie civil nucléaire
388,2,380,spi.gciv.geotech,spi.gciv.geotech = Sciences de l'ingénieur [physics]/Génie civil/Géotechnique
389,2,380,spi.gciv.it,spi.gciv.it = Sciences de l'ingénieur [physics]/Génie civil/Infrastructures de transport
390,2,380,spi.gciv.mat,spi.gciv.mat = Sciences de l'ingénieur [physics]/Génie civil/Matériaux composites et construction
391,2,380,spi.gciv.rhea,spi.gciv.rhea = Sciences de l'ingénieur [physics]/Génie civil/Réhabilitation
392,2,380,spi.gciv.risq,spi.gciv.risq = Sciences de l'ingénieur [physics]/Génie civil/Risques
393,2,380,spi.gciv.struct,spi.gciv.struct = Sciences de l'ingénieur [physics]/Génie civil/Structures
329,1,324,spi.gproc,spi.gproc = Sciences de l'ingénieur [physics]/Génie des procédés
330,1,324,spi.mat,spi.mat = Sciences de l'ingénieur [physics]/Matériaux
331,1,324,spi.meca,spi.meca = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]
332,2,331,spi.meca.biom,spi.meca.biom = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]/Biomécanique [physics.med-ph]
333,2,331,spi.meca.geme,spi.meca.geme = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]/Génie mécanique [physics.class-ph]
334,2,331,spi.meca.mefl,spi.meca.mefl = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]/Mécanique des fluides [physics.class-ph]
335,2,331,spi.meca.mema,spi.meca.mema = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]/Mécanique des matériaux [physics.class-ph]
336,2,331,spi.meca.msmeca,spi.meca.msmeca = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]/Matériaux et structures en mécanique [physics.class-ph]
339,2,331,spi.meca.ther,spi.meca.ther = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]/Thermique [physics.class-ph]
340,2,331,spi.meca.vibr,spi.meca.vibr = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]/Vibrations [physics.class-ph]
341,1,324,spi.nano,spi.nano = Sciences de l'ingénieur [physics]/Micro et nanotechnologies/Microélectronique
342,1,324,spi.nrj,spi.nrj = Sciences de l'ingénieur [physics]/Energie électrique
343,1,324,spi.opti,spi.opti = Sciences de l'ingénieur [physics]/Optique / photonique
344,1,324,spi.other,spi.other = Sciences de l'ingénieur [physics]/Autre
345,1,324,spi.plasma,spi.plasma = Sciences de l'ingénieur [physics]/Plasmas
346,1,324,spi.signal,spi.signal = Sciences de l'ingénieur [physics]/Traitement du signal et de l'image [eess.SP]
354,1,324,spi.tron,spi.tron = Sciences de l'ingénieur [physics]/Electronique
347,0,0,stat,stat = Statistiques [stat]
349,1,347,stat.ap,stat.ap = Statistiques [stat]/Applications [stat.AP]
350,1,347,stat.co,stat.co = Statistiques [stat]/Calcul [stat.CO]
351,1,347,stat.me,stat.me = Statistiques [stat]/Méthodologie [stat.ME]
356,1,347,stat.ml,stat.ml = Statistiques [stat]/Machine Learning [stat.ML]
348,1,347,stat.ot,stat.ot = Statistiques [stat]/Autres [stat.ML]
352,1,347,stat.th,stat.th = Statistiques [stat]/Théorie [stat.TH]
338,2,331,spi.meca.stru,spi.meca.stru = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]/Mécanique des structures [physics.class-ph]
337,2,331,spi.meca.solid,spi.meca.solid = Sciences de l'ingénieur [physics]/Mécanique [physics.med-ph]/Mécanique des solides [physics.class-ph]
133,2,125,phys.meca.stru,phys.meca.stru = Physique [physics]/Mécanique [physics]/Mécanique des structures [physics.class-ph]
132,2,125,phys.meca.solid,phys.meca.solid = Physique [physics]/Mécanique [physics]/Mécanique des solides [physics.class-ph]
